S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220900098,1,Y,23/09/2022,DEDE JUNAEDI,CU05281,CV. KARYA WARGA BOGOR,DPKWB00006,REHABILITASI JALAN BANJARWARU - TAPOS,KEC CIAWI KAB BOGOR    , ,30MX10A06A3D,124.00 ,28.00 ,24.00,,,,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,MANUAL,C0000E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220900445,1,Y,23/09/2022,DEDE JUNAEDI,CU05281,CV. KARYA WARGA BOGOR,DPKWB00006,REHABILITASI JALAN BANJARWARU - TAPOS,KEC CIAWI KAB BOGOR    , ,30MX10A06A3D,90.00 ,90.00 ,24.00,,,,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,MANUAL,C0000E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220900421,1,Y,23/09/2022,DEDE JUNAEDI,CU05302,CV. POETRI MANDIRI PRATAMA,DPPMM00011,PENINGKATAN JALAN PANGRANGO KEC CISARUA,BOGOR    , ,20MX10A06GAP,178.00 ,178.00 ,20.00,,,,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,2.00,MANUAL,C0000E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM220900024,1,Y,23/09/2022,DEDE JUNAEDI,CU03065,PT BANGUN BUMI PERSADA JAYA,DPBBP00014,LOCO. PEM GELANGGANG OLAHRAGA MASYARAKAT (GOM) MEGAMENDUNG BGR PT VIASTA CENTRAL,PRIMA - KAMPUNG BARU TEGAL RT 002 RW 008 DS CIPAYUNG GIRANG KEC MEGAMENDUNG KAB BOGOR    , ,30FN12A06XXX,641.00 ,621.00 ,10.00,,,,,,,,,,,,,,,,,,,,,6.00,4.00,,,MANUAL,C3000D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM220900299,1,Y,23/09/2022,LUDI PURNAMA,CU01859,PT BANGUN ARSHINDO SENTOSA,DPBAS00019,PERUM GRIYA BUKIT JAYA 2 CIKEAS BOJONG NANGKA GUNUNG PUTRI,BOGOR    , ,22FU12A06XXX,26.00 ,26.00 ,26.00,,,,,,,,12.00,12.00,2.00,,,,,,,,,,,,,,,CPS,C3000C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220900410,1,Y,23/09/2022,LUDI PURNAMA,CU05338,PT. JAVA NAYLA KONTRAKTOR,DPJNK00002,DATA CENTER CITEUREUP JL PAHLAWAN NO 239 SANJA KEC CITEUREUP,KAB BOGOR    , ,LCFN12A06XXX,13.00 ,13.00 ,13.00,,,,,,,,6.00,6.00,1.00,,,,,,,,,,,,,,,MANUAL,C0000E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220900461,1,Y,23/09/2022,LUDI PURNAMA,CU02816,CV INDOBARU MANDIRI,DPIBM00200,BKM DESA TAJUR HALANG. DESA TAJUR HALANG RW 09 KEC TAJUR HALANG,BOGOR    , ,25FN12A06XXX,90.00 ,90.00 ,90.00,,,,,,,,12.00,12.00,12.00,12.00,,12.00,12.00,12.00,6.00,,,,,,,,,MANUAL,C0000E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220900473,1,Y,23/09/2022,LUDI PURNAMA,CU05361,PT. PRIANGAN BANGUN NUSANTARA,DPPBN00066,PEMBANGUNAN JEMBATAN SITU NANGGERENG (JALUR LAMBAT ARAH KEMANG) PADA JALAN,BOJONG GEDE - KEMANG KECAMATAN TAJUR HALANG KAB BOGOR    , ,30MX12A06GAP,120.00 ,120.00 ,120.00,,,,,,,,,,,,,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,,,MANUAL,C0000E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM220900314,1,Y,23/09/2022,LUDI PURNAMA,CU04994,PT. KOTAKDESIGN MEGAHINDO,DPKDM00003,RUMAH TINGGAL MARGATTA CIMANGGIS GOLF ESTATE,CIMANGGIS    , ,25FN12A06XXX,18.00 ,12.00 ,6.00,,,,,,,,,,,6.00,,,,,,,,,,,,,,MANUAL,C3000D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000D,,
SO02-IDM220900418,1,Y,23/09/2022,LUDI PURNAMA,CU05288,CV. DANUR JAYA,DPDAJ00002,PENINGKATAN JALAN SUKAKARYA - PASIR KALONG,KECAMATAN MEGAMENDUNG KABUPATEN BOGOR    , ,30MX10A06A7D,100.00 ,100.00 ,48.00,,,,,,,,,,,,,,,,,12.00,12.00,12.00,12.00,,,,,MANUAL,C0000E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220900470,1,Y,23/09/2022,LUDI PURNAMA,CU05059,CV. ABDI MAHYRA KARYA,DPAMK00035,KANTOR PUSAT PDAM TIRTA ASASTA JL MARGONDA RAYA,DEPOK    , ,35FU12A06XXX,5.00 ,5.00 ,5.00,,,,,,,,,,,,,,,,5.00,,,,,,,,,MANUAL,C0000E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
