bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02,
22MN10C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,10+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC22MPA-FA25-SL10-G14,1618
25MN10C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,10+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC25MPA-FA25-SL10-G14,1619
27MN10C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,10+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC27MPA-FA25-SL10-G14,1620
30MN10C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,10+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC30MPA-FA25-SL10-G14,1621
32MN10C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,10+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC32MPA-FA25-SL10-G14,1622
33MN10C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,10+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC33MPA-FA25-SL10-G14,1623
35MN10C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,10+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC35MPA-FA25-SL10-G14,1624
08MN12C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC08MPA-FA25-SL12-G14,1625
10MN12C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC10MPA-FA25-SL12-G14,1626
12MN12C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC12MPA-FA25-SL12-G14,1627
