bmb_file.bmb01,bmb_file.bmb02,bmb_file.bmb03,bmb_file.bmb04,bmb_file.bmb05,bmb_file.bmb06,bmb_file.bmb07,bmb_file.bmb08,bmb_file.bmb09,bmb_file.bmb10,bmb_file.bmb10_fac,bmb_file.bmb10_fac2,bmb_file.bmb11,bmb_file.bmb13,bmb_file.bmb14,bmb_file.bmb15,bmb_file.bmb16,bmb_file.bmb17,bmb_file.bmb18,bmb_file.bmb19,bmb_file.bmb20,bmb_file.bmb21,bmb_file.bmb22,bmb_file.bmb23,bmb_file.bmb24,bmb_file.bmb25,bmb_file.bmb26,bmb_file.bmb27,bmb_file.bmb28,bmb_file.bmbmodu,bmb_file.bmbdate,bmb_file.bmbcomm,bmb_file.bmb29,bmb_file.bmb30,bmb_file.bmb31,bmb_file.bmb33,bmb_file.bmbud01,bmb_file.bmbud02,bmb_file.bmbud03,bmb_file.bmbud04,bmb_file.bmbud05,bmb_file.bmbud06,bmb_file.bmbud07,bmb_file.bmbud08,bmb_file.bmbud09,bmb_file.bmbud10,bmb_file.bmbud11,bmb_file.bmbud12,bmb_file.bmbud13,bmb_file.bmbud14,bmb_file.bmbud15,bmb_file.bmb081,bmb_file.bmb082,bmb_file.bmb36,bmb_file.bmb37,ima02,,,,,,,0.40%,
08MX08A06XXX,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MX08A06XXXFA,,,,,,,
08MX08A06XXX,,0000-100011,,,162,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MX08A06XXXSEMEN,,,,,,,
08MX08A06XXX,,0000-100030,,,181,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MX08A06XXXWATER,,,,,,,
08MX08A06XXX,,0000-100090,,,315,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MX08A06XXXAGG1,,,,,,,
08MX08A06XXX,,0000-100091,,,723,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MX08A06XXXAGG2,,,,,,,
08MX08A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MX08A06XXXAGG3,,,,,,,
08MX08A06XXX,,0000-100094,,,710,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MX08A06XXXSAND,08MX08A06XXXSAND,710,08MX08A06XXXSTONE DUST,178,1135,80%,908
08MX08A06XXX,,0000-100093,,,178,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MX08A06XXXSTONE DUST,08MX08A06XXXSAND,710,08MX08A06XXXSTONE DUST,178,1135,20%,227
08MX08A06XXX,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MX08A06XXXFLBNF-15,,,,,,,
08MX08A06XXX,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,08MX08A06XXXFLB-RPF34,,,,,,,
08MX08A06XXX,,0002-100449,,,0.486,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MX08A06XXXFLBPD-14,08MX08A06XXXFA,0,08MX08A06XXXSEMEN,162,162,0.30%,0.486
08MX08C06XXX,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MX08C06XXXFA,,,,,,,
08MX08C06XXX,,0000-100011,,,162,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MX08C06XXXSEMEN,,,,,,,
08MX08C06XXX,,0000-100030,,,181,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MX08C06XXXWATER,,,,,,,
08MX08C06XXX,,0000-100090,,,791,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MX08C06XXXAGG1,,,,,,,
08MX08C06XXX,,0000-100091,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MX08C06XXXAGG2,,,,,,,
08MX08C06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MX08C06XXXAGG3,,,,,,,
08MX08C06XXX,,0000-100094,,,910,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MX08C06XXXSAND,,,,,,,
08MX08C06XXX,,0000-100093,,,227,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MX08C06XXXSTONE DUST,,,,,,,
08MX08C06XXX,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MX08C06XXXFLBNF-15,,,,,,,
08MX08C06XXX,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,08MX08C06XXXFLB-RPF34,,,,,,,
08MX08C06XXX,,0002-100449,,,0.486,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MX08C06XXXFLBPD-14,08MX08C06XXXFA,0,08MX08C06XXXSEMEN,162,162,0.30%,0.486
08MX10A06XXX,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MX10A06XXXFA,,,,,,,
08MX10A06XXX,,0000-100011,,,165,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MX10A06XXXSEMEN,,,,,,,
08MX10A06XXX,,0000-100030,,,185,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MX10A06XXXWATER,,,,,,,
08MX10A06XXX,,0000-100090,,,315,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MX10A06XXXAGG1,,,,,,,
08MX10A06XXX,,0000-100091,,,723,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MX10A06XXXAGG2,,,,,,,
08MX10A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MX10A06XXXAGG3,,,,,,,
08MX10A06XXX,,0000-100094,,,701,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MX10A06XXXSAND,,,,,,,
08MX10A06XXX,,0000-100093,,,175,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MX10A06XXXSTONE DUST,,,,,,,
08MX10A06XXX,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MX10A06XXXFLBNF-15,,,,,,,
08MX10A06XXX,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,08MX10A06XXXFLB-RPF34,,,,,,,
08MX10A06XXX,,0002-100449,,,0.495,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MX10A06XXXFLBPD-14,08MX10A06XXXFA,0,08MX10A06XXXSEMEN,165,165,0.30%,0.495
08MX10C06XXX,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MX10C06XXXFA,,,,,,,
08MX10C06XXX,,0000-100011,,,165,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MX10C06XXXSEMEN,,,,,,,
08MX10C06XXX,,0000-100030,,,185,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MX10C06XXXWATER,,,,,,,
08MX10C06XXX,,0000-100090,,,791,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MX10C06XXXAGG1,,,,,,,
08MX10C06XXX,,0000-100091,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MX10C06XXXAGG2,,,,,,,
08MX10C06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MX10C06XXXAGG3,,,,,,,
08MX10C06XXX,,0000-100094,,,900,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MX10C06XXXSAND,,,,,,,
08MX10C06XXX,,0000-100093,,,225,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MX10C06XXXSTONE DUST,,,,,,,
08MX10C06XXX,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MX10C06XXXFLBNF-15,,,,,,,
08MX10C06XXX,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,08MX10C06XXXFLB-RPF34,,,,,,,
08MX10C06XXX,,0002-100449,,,0.495,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MX10C06XXXFLBPD-14,08MX10C06XXXFA,0,08MX10C06XXXSEMEN,165,165,0.30%,0.495
08MX12A06XXX,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MX12A06XXXFA,,,,,,,
08MX12A06XXX,,0000-100011,,,167,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MX12A06XXXSEMEN,,,,,,,
08MX12A06XXX,,0000-100030,,,188,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MX12A06XXXWATER,,,,,,,
08MX12A06XXX,,0000-100090,,,315,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MX12A06XXXAGG1,,,,,,,
08MX12A06XXX,,0000-100091,,,723,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MX12A06XXXAGG2,,,,,,,
08MX12A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MX12A06XXXAGG3,,,,,,,
08MX12A06XXX,,0000-100094,,,693,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MX12A06XXXSAND,,,,,,,
08MX12A06XXX,,0000-100093,,,173,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MX12A06XXXSTONE DUST,,,,,,,
08MX12A06XXX,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MX12A06XXXFLBNF-15,,,,,,,
08MX12A06XXX,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,08MX12A06XXXFLB-RPF34,,,,,,,
08MX12A06XXX,,0002-100449,,,0.501,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MX12A06XXXFLBPD-14,08MX12A06XXXFA,0,08MX12A06XXXSEMEN,167,167,0.30%,0.501
08MX12C06XXX,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MX12C06XXXFA,,,,,,,
08MX12C06XXX,,0000-100011,,,167,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MX12C06XXXSEMEN,,,,,,,
08MX12C06XXX,,0000-100030,,,188,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MX12C06XXXWATER,,,,,,,
08MX12C06XXX,,0000-100090,,,791,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MX12C06XXXAGG1,,,,,,,
08MX12C06XXX,,0000-100091,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MX12C06XXXAGG2,,,,,,,
08MX12C06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MX12C06XXXAGG3,,,,,,,
08MX12C06XXX,,0000-100094,,,893,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MX12C06XXXSAND,,,,,,,
08MX12C06XXX,,0000-100093,,,223,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MX12C06XXXSTONE DUST,,,,,,,
08MX12C06XXX,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MX12C06XXXFLBNF-15,,,,,,,
08MX12C06XXX,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,08MX12C06XXXFLB-RPF34,,,,,,,
08MX12C06XXX,,0002-100449,,,0.501,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MX12C06XXXFLBPD-14,08MX12C06XXXFA,0,08MX12C06XXXSEMEN,167,167,0.30%,0.501
08MX14A06XXX,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MX14A06XXXFA,,,,,,,
08MX14A06XXX,,0000-100011,,,169,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MX14A06XXXSEMEN,,,,,,,
08MX14A06XXX,,0000-100030,,,190,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MX14A06XXXWATER,,,,,,,
08MX14A06XXX,,0000-100090,,,315,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MX14A06XXXAGG1,,,,,,,
08MX14A06XXX,,0000-100091,,,723,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MX14A06XXXAGG2,,,,,,,
08MX14A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MX14A06XXXAGG3,,,,,,,
08MX14A06XXX,,0000-100094,,,686,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MX14A06XXXSAND,,,,,,,
08MX14A06XXX,,0000-100093,,,172,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MX14A06XXXSTONE DUST,,,,,,,
08MX14A06XXX,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MX14A06XXXFLBNF-15,,,,,,,
08MX14A06XXX,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,08MX14A06XXXFLB-RPF34,,,,,,,
08MX14A06XXX,,0002-100449,,,0.507,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MX14A06XXXFLBPD-14,08MX14A06XXXFA,0,08MX14A06XXXSEMEN,169,169,0.30%,0.507
08MX14C06XXX,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MX14C06XXXFA,,,,,,,
08MX14C06XXX,,0000-100011,,,169,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MX14C06XXXSEMEN,,,,,,,
08MX14C06XXX,,0000-100030,,,190,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MX14C06XXXWATER,,,,,,,
08MX14C06XXX,,0000-100090,,,791,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MX14C06XXXAGG1,,,,,,,
08MX14C06XXX,,0000-100091,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MX14C06XXXAGG2,,,,,,,
08MX14C06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MX14C06XXXAGG3,,,,,,,
08MX14C06XXX,,0000-100094,,,886,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MX14C06XXXSAND,,,,,,,
08MX14C06XXX,,0000-100093,,,222,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MX14C06XXXSTONE DUST,,,,,,,
08MX14C06XXX,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MX14C06XXXFLBNF-15,,,,,,,
