bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02,FLBPD-14,http://103.151.15.11:8041/
10MI10A06BGR,,,,,,,,,,R41CTP-801,,,,,,,,10+/-2,,,,,,,,,,,,,,,,FC10MPA-FA15-SL10-G25,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=10MI10A06BGR
10MX10A06BGR,,,,,,,,,,R41CTP-801,,,,,,,,10+/-2,,,,,,,,,,,,,,,,FC10MPA-NORM-SL10-G25,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=10MX10A06BGR
10MX12A06BGR,,,,,,,,,,R41CTP-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC10MPA-NORM-SL12-G25,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=10MX12A06BGR
10MX12A06JSP,,,,,,,,,,R41CTP-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC10MPA-NORM-SL12-G25,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=10MX12A06JSP
12BX18A06RBC,,,,,,,,,,R41CTP-801,,,,,,,,18+/-2,,,,,,,,,,,,,,,,K125KG/CM2-NORM-SL18-G25-R1,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=12BX18A06RBC
15MI10A06BGR,,,,,,,,,,R41CTP-801,,,,,,,,10+/-2,,,,,,,,,,,,,,,,FC15MPA-FA15-SL10-G25,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=15MI10A06BGR
15MX10A06BGR,,,,,,,,,,R41CTP-801,,,,,,,,10+/-2,,,,,,,,,,,,,,,,FC15MPA-NORM-SL10-G25,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=15MX10A06BGR
15MX12A06BGR,,,,,,,,,,R41CTP-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC15MPA-NORM-SL12-G25,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=15MX12A06BGR
17PX10A06RBC,,,,,,,,,,R41CTP-801,,,,,,,,10+/-2,,,,,,,,,,,,,,,,K175KG/CM2-NORM-SL10-G25-R1,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=17PX10A06RBC
20MX10A06BGR,,,,,,,,,,R41CTP-801,,,,,,,,10+/-2,,,,,,,,,,,,,,,,FC20MPA-NORM-SL10-G25,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=20MX10A06BGR
20MX12A06BGR,,,,,,,,,,R41CTP-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC20MPA-NORM-SL12-G25,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=20MX12A06BGR
20MX12A06JSP,,,,,,,,,,R41CTP-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC20MPA-NORM-SL12-G25,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=20MX12A06JSP
22BX18A06RBC,,,,,,,,,,R41CTP-801,,,,,,,,18+/-2,,,,,,,,,,,,,,,,K225KG/CM2-NORM-SL18-G25-R1,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=22BX18A06RBC
25MI12A06JEP,,,,,,,,,,R41CTP-801,,,,,,,,12+2,,,,,,,,,,,,,,,,FC25MPA-FA15-G25-R1,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=25MI12A06JEP
25MX08A06VTR,,,,,,,,,,R41CTP-801,,,,,,,,8+2,,,,,,,,,,,,,,,,FC25MPA-NORM-G25-R1,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=25MX08A06VTR
25MX10A06BGR,,,,,,,,,,R41CTP-801,,,,,,,,10+/-2,,,,,,,,,,,,,,,,FC25MPA-NORM-SL10-G25,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=25MX10A06BGR
25MX12A06BGR,,,,,,,,,,R41CTP-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC25MPA-NORM-SL12-G25,1,start firefox http://103.151.15.11:8041/mis/deletemixdesign.php?id=25MX12A06BGR
