bmb_file.bmb01,bmb_file.bmb02,bmb_file.bmb03,bmb_file.bmb04,bmb_file.bmb05,bmb_file.bmb06,bmb_file.bmb07,bmb_file.bmb08,bmb_file.bmb09,bmb_file.bmb10,bmb_file.bmb10_fac,bmb_file.bmb10_fac2,bmb_file.bmb11,bmb_file.bmb13,bmb_file.bmb14,bmb_file.bmb15,bmb_file.bmb16,bmb_file.bmb17,bmb_file.bmb18,bmb_file.bmb19,bmb_file.bmb20,bmb_file.bmb21,bmb_file.bmb22,bmb_file.bmb23,bmb_file.bmb24,bmb_file.bmb25,bmb_file.bmb26,bmb_file.bmb27,bmb_file.bmb28,bmb_file.bmbmodu,bmb_file.bmbdate,bmb_file.bmbcomm,bmb_file.bmb29,bmb_file.bmb30,bmb_file.bmb31,bmb_file.bmb33,bmb_file.bmbud01,bmb_file.bmbud02,bmb_file.bmbud03,bmb_file.bmbud04,bmb_file.bmbud05,bmb_file.bmbud06,bmb_file.bmbud07,bmb_file.bmbud08,bmb_file.bmbud09,bmb_file.bmbud10,bmb_file.bmbud11,bmb_file.bmbud12,bmb_file.bmbud13,bmb_file.bmbud14,bmb_file.bmbud15,bmb_file.bmb081,bmb_file.bmb082,bmb_file.bmb36,bmb_file.bmb37,ima02,,,,,,,,,
10MI10A06BGR,,0000-000015,,,39,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,10MI10A06BGRFA,,,,,,,,
10MI10A06BGR,,0000-100011,,,222,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,10MI10A06BGRSEMEN,,,,,,,,
10MI10A06BGR,,0000-100030,,,185,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,10MI10A06BGRWATER,,,,,,,,
10MI10A06BGR,,0000-100090,,,294,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,10MI10A06BGRAGG1,,,,,,,,
10MI10A06BGR,,0000-100091,,,685,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,10MI10A06BGRAGG2,,,,,,,,
10MI10A06BGR,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,10MI10A06BGRAGG3,,,,,,,,
10MI10A06BGR,,0000-100094,,,700,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,10MI10A06BGRSAND,1,10MI10A06BGRSAND,700,10MI10A06BGRSTONE DUST,175,875,80%,700
10MI10A06BGR,,0000-100093,,,175,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,10MI10A06BGRSTONE DUST,1,10MI10A06BGRSAND,700,10MI10A06BGRSTONE DUST,175,875,20%,175
10MI10A06BGR,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,10MI10A06BGRFLBNF-15,,,,,,,,
10MI10A06BGR,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,10MI10A06BGRFLB-RPF34,,,,,,,,
10MI10A06BGR,,0002-100449,,,0.783,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,10MI10A06BGRFLBPD-14,1,10MI10A06BGRFA,39,10MI10A06BGRSEMEN,222,261,0.30%,0.783
10MX10A06BGR,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,10MX10A06BGRFA,,,,,,,,
10MX10A06BGR,,0000-100011,,,249,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,10MX10A06BGRSEMEN,,,,,,,,
10MX10A06BGR,,0000-100030,,,190,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,10MX10A06BGRWATER,,,,,,,,
10MX10A06BGR,,0000-100090,,,295,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,10MX10A06BGRAGG1,,,,,,,,
10MX10A06BGR,,0000-100091,,,688,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,10MX10A06BGRAGG2,,,,,,,,
10MX10A06BGR,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,10MX10A06BGRAGG3,,,,,,,,
10MX10A06BGR,,0000-100094,,,703,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,10MX10A06BGRSAND,,,,,,,,
10MX10A06BGR,,0000-100093,,,176,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,10MX10A06BGRSTONE DUST,,,,,,,,
10MX10A06BGR,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,10MX10A06BGRFLBNF-15,,,,,,,,
10MX10A06BGR,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,10MX10A06BGRFLB-RPF34,,,,,,,,
10MX10A06BGR,,0002-100449,,,0.747,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,10MX10A06BGRFLBPD-14,1,10MX10A06BGRFA,0,10MX10A06BGRSEMEN,249,249,0.30%,0.747
10MX12A06BGR,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,10MX12A06BGRFA,,,,,,,,
10MX12A06BGR,,0000-100011,,,256,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,10MX12A06BGRSEMEN,,,,,,,,
10MX12A06BGR,,0000-100030,,,195,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,10MX12A06BGRWATER,,,,,,,,
10MX12A06BGR,,0000-100090,,,292,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,10MX12A06BGRAGG1,,,,,,,,
10MX12A06BGR,,0000-100091,,,681,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,10MX12A06BGRAGG2,,,,,,,,
10MX12A06BGR,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,10MX12A06BGRAGG3,,,,,,,,
10MX12A06BGR,,0000-100094,,,695,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,10MX12A06BGRSAND,,,,,,,,
10MX12A06BGR,,0000-100093,,,174,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,10MX12A06BGRSTONE DUST,,,,,,,,
10MX12A06BGR,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,10MX12A06BGRFLBNF-15,,,,,,,,
10MX12A06BGR,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,10MX12A06BGRFLB-RPF34,,,,,,,,
10MX12A06BGR,,0002-100449,,,0.768,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,10MX12A06BGRFLBPD-14,1,10MX12A06BGRFA,0,10MX12A06BGRSEMEN,256,256,0.30%,0.768
10MX12A06JSP,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,10MX12A06JSPFA,,,,,,,,
