bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02,SBT CON-M,
17PX12A06TMI,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-NORM-SL12-G25,0.87,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17PX12A06TMI
25MX12A06RST,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC25MPA-NORM-SL12-G25,1.179,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=25MX12A06RST
25PX12A06TMI,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K250KG/CM2-NORM-SL12-G25,0.933,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=25PX12A06TMI
25PX12A06WHM,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K250KG/CM2-NORM-SL12-G25,1.17,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=25PX12A06WHM
30FD12A06WTT,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K300KG/CM2-SL12-G25-WTT,1.2,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=30FD12A06WTT
30FI12A06GEL,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K300KG/CM2-FA15-SL12-G25,1.134,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=30FI12A06GEL
30MI06C06TMI,,,,,,,,,,R01JAT-801,,,,,,,,6+/-2,,,,,,,,,,,,,,,,FC30MPA-FA15-SL06-G14,1.122,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=30MI06C06TMI
30MI14A06MBA,,,,,,,,,,R01JAT-801,,,,,,,,14+/-2,,,,,,,,,,,,,,,,FC30MPA-FA15-SL14-G25,1.245,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=30MI14A06MBA
30MX05C06TMI,,,,,,,,,,R01JAT-801,,,,,,,,5+/-2,,,,,,,,,,,,,,,,FC30MPA-NORM-SL05-G14,1.068,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=30MX05C06TMI
30MX12A06TMI,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC30MPA-NORM-SL12-G25,1.092,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=30MX12A06TMI
30MX12A06WHM,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC30MPA-NORM-SL12-G25,1.23,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=30MX12A06WHM
30PX12A06A1D,,,,,,,,,,R01JAT-801,,,,,,,,MIN 12,,,,,,,,,,,,,,,,K300KG/CM2-NORM-SL12-A1D,1.68,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=30PX12A06A1D
30PX12A06MCT,,,,,,,,,,R01JAT-801,,,,,,,,12+2,,,,,,,,,,,,,,,,K300KG/CM2-NORM-SL12-G25,0.927,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=30PX12A06MCT
30PX12A06RDB,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K300KG/CM2-NORM-SL12-G25,1.029,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=30PX12A06RDB
30PX12A06RSV,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K300KG/CM2-NORM-SL12-G25,1.137,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=30PX12A06RSV
30PX12A06TMI,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K300KG/CM2-NORM-SL12-G25,1.029,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=30PX12A06TMI
