bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02,SBT CON-M,http://103.167.107.33:8001/
08MN12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC08MPA-FA-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=08MN12A06R1X
08MN12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC08MPA-FA-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=08MN12A06XXX
08MN12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC08MPA-FA-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=08MN12C06R1X
08MN12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC08MPA-FA-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=08MN12C06XXX
08MU12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC08MPA-FA20-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=08MU12A06R1X
08MU12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC08MPA-FA20-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=08MU12A06XXX
08MU12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC08MPA-FA20-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=08MU12C06R1X
08MU12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC08MPA-FA20-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=08MU12C06XXX
08MX12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC08MPA-NORM-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=08MX12A06R1X
08MX12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC08MPA-NORM-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=08MX12A06XXX
08MX12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC08MPA-NORM-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=08MX12C06R1X
08MX12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC08MPA-NORM-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=08MX12C06XXX
10FN12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K100KG/CM2-FA-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10FN12A06R1X
10FN12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K100KG/CM2-FA-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10FN12A06XXX
10FN12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K100KG/CM2-FA-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10FN12C06R1X
